Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D16.0mm_W5.0mm_P7.50mm,1,10n/3000V,
"C10, C11, C14, C15, C9",C_Disc_D16.0mm_W5.0mm_P7.50mm,5,10n,
"C12, C18, C26",0603,3,100n,C6119867
"C13, C17, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38",0603,14,1u,C15849
"C16, C4",CP_Elec_10x10.5,2,1000u,C5162355
"C19, C2, C20, C21, C3, C6, C7",CP_Elec_4x5.4,7,10u,RVT1V100M0405
"C22, C23, C24, C25",0603,4,20p,C1648
C5,0805,1,10u,C15850 
C8,0603,1,10n,C1525
D1,D_A-405_P12.70mm_Horizontal,1,2CL71A,
"D2, D3, D5, D6",D_SOD-523,4,D_Schottky,C7502702
"FB1, FB2, FB3, FB4",1210,4,620Ω@1MHz,C2661807
J1,Amphenol_USB_B,1,USB_B,
"J10, J4",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
"J2, J7",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
"J3, J8",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
J6,PinHeader_1x02_P2.54mm_Vertical,1,~,
J9,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
Q1,TO-252-2,1,15N10,C359106
"Q2, Q3, Q5, Q6, Q7",SOT-23,5,S8050,C2146
Q8,SOT-23,1,MDD2302,C427390
"R19, R35, R36, R38, R39, R40, R8",0603,7,1k,C21190
"R20, R5",0603,2,10k,C25804
"R21, R23",0603,2,330R,C23138
"R22, R3",0805,2,47k,C17713
R24,0603,1,9k1,C23260
"R25, R26, R27, R28, R31, R32, R33, R34",1206,8,1M,C2075184
R29,0603,1,100k,0603
R30,0805,1,47R,C17714
"R37, R4",2010,2,330R,C2889850
T1,15kV_Transformer,1,24:1800,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ICL7660,C7881
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,C7950
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
"U7, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,LM318N,C1347395
Y1,Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm,1,32.768kHz,C16320
Y2,Crystal_SMD_HC49-SD,1,8MHz,C12674
