Designator,Mid X,Mid Y,Rotation,Layer
C1,231.25,-119.5,0.0,top
C10,231.25,-93.0,0.0,top
C11,231.25,-98.5,0.0,top
C12,197.1275,-98.48,90.0,top
C13,157.5,-138.725,270.0,top
C14,231.25,-104.0,0.0,top
C15,231.25,-109.5,0.0,top
C16,169.0,-143.4,270.0,top
C17,219.225,-64.0,0.0,top
C18,204.725,-104.0,0.0,top
C19,157.0,-62.8,270.0,top
C2,180.0,-113.7,90.0,top
C20,172.5,-62.2,270.0,top
C21,185.2,-61.5,180.0,top
C22,160.5,-111.725,90.0,top
C23,160.5,-117.275,270.0,top
C24,151.225,-112.3,180.0,top
C25,154.725,-112.3,0.0,top
C26,183.5,-84.46,90.0,top
C27,211.225,-65.0,0.0,top
C28,192.725,-64.0,0.0,top
C29,164.225,-101.0,0.0,top
C3,195.0,-113.7,90.0,top
C30,168.675,-93.0,90.0,top
C31,158.175,-88.0,180.0,top
C32,153.45,-96.725,270.0,top
C33,195.707377,-80.246166,90.0,top
C34,193.0,-80.225,270.0,top
C35,223.725,-63.5,180.0,top
C36,214.225,-61.225,90.0,top
C37,214.0,-76.275,90.0,top
C38,203.0,-64.225,270.0,top
C4,183.0,-143.3,270.0,top
C5,190.5,-141.55,90.0,top
C6,181.2,-100.5,180.0,top
C7,188.7,-100.5,180.0,top
C8,200.9875,-68.225,90.0,top
C9,231.25,-87.5,0.0,top
D1,236.5,-133.0,270.0,top
D2,188.0,-73.8,270.0,top
D3,188.0,-76.5,270.0,top
D5,196.6275,-101.955,270.0,top
D6,195.1275,-101.955,90.0,top
FB1,178.5,-106.1,90.0,top
FB2,183.6,-106.0,90.0,top
FB3,189.0,-106.1,90.0,top
FB4,179.1,-61.5,0.0,top
J1,149.7,-75.23,270.0,top
J10,147.5,-93.73,0.0,top
J2,179.5,-82.73,180.0,top
J3,172.0,-109.015,0.0,top
J4,151.19,-103.5,270.0,top
J6,235.0,-68.27,0.0,top
J7,172.5,-78.23,0.0,top
J8,153.0,-135.0,0.0,top
J9,235.0,-77.0,0.0,top
Q1,185.565,-130.625,0.0,top
Q2,175.05,-131.9375,90.0,top
Q3,206.55,-68.5625,270.0,top
Q5,200.5,-73.5625,90.0,top
Q6,206.0,-73.5625,90.0,top
Q7,168.5,-81.5625,90.0,top
Q8,160.55,-138.5625,270.0,top
R19,214.675,-65.0,180.0,top
R20,207.675,-65.5,180.0,top
R21,199.5,-77.175,90.0,top
R22,225.5,-114.5875,90.0,top
R23,204.0,-77.175,90.0,top
R24,199.1275,-98.43,270.0,top
R25,208.5375,-88.0,180.0,top
R26,213.5375,-88.0,0.0,top
R27,215.0,-91.5375,270.0,top
R28,203.5375,-88.0,180.0,top
R29,156.675,-141.0,180.0,top
R3,237.5,-114.5875,270.0,top
R30,160.5875,-135.5,0.0,top
R31,215.0,-96.5375,90.0,top
R32,215.0,-101.6125,90.0,top
R33,215.0,-106.6125,270.0,top
R34,215.0,-111.5375,270.0,top
R35,190.675,-75.5,180.0,top
R36,167.5,-85.0,270.0,top
R37,168.1875,-133.0,180.0,top
R38,195.1275,-98.43,270.0,top
R39,169.5,-77.675,270.0,top
R4,168.3625,-128.5,0.0,top
R40,167.675,-125.5,180.0,top
R5,183.5,-81.175,90.0,top
R8,226.5,-69.175,270.0,top
SYM1,228.573332,-80.260012,0.0,bottom
SYM2,217.0,-120.0,0.0,bottom
SYM3,231.5,-146.0,0.0,bottom
SYM4,228.573332,-80.260012,0.0,top
SYM5,217.0,-120.0,0.0,top
SYM6,231.5,-146.0,0.0,top
T1,209.0,-137.6,90.0,top
U1,187.525,-113.095,270.0,top
U3,204.525,-100.095,270.0,top
U4,161.2875,-94.25,90.0,top
U6,164.85,-63.0,180.0,top
U7,220.135,-70.025,180.0,top
U8,212.595,-70.025,180.0,top
U9,193.595,-70.025,180.0,top
Y1,152.75,-116.4,180.0,top
Y2,164.0,-114.75,90.0,top
